edge-id,source,source-id,category,category-overarching,target-id,target
e1648,"Benjamin Hinton, Eighteene choice and usefull sermons (1650)",b0129,printed by,the labor of printing,p8000,printer only identified by initials
e1053,"Benjamin Hinton, Eighteene choice and usefull sermons (1650)",b0129,printed for,the labor of printing,p0242,Richard Wodenothe
e1060,"Benjamin Hinton, Eighteene choice and usefull sermons (1650)",b0129,with a letter to the reader by,preliminary content / preliminaries,p0248,William Hinton
e0856,"Benjamin Hinton, Eighteene choice and usefull sermons (1650)",b0129,with an imprimatur by,the labor of printing,p0158,Edmund Calamy
e0472,"Benjamin Hinton, Eighteene choice and usefull sermons (1650)",b0129,written by,authorship,p0046,Benjamin Hinton
e1554,"Benjamin Parry, Chymia coelestis (1659)",b0364,dedicated to,dedication,p0531,William Glynne
e1490,"Benjamin Parry, Chymia coelestis (1659)",b0364,with a letter to the reader by,preliminary content / preliminaries,p0499,Benjamin Parry
e1491,"Benjamin Parry, Chymia coelestis (1659)",b0364,written by,authorship,p0499,Benjamin Parry
e0796,"Carlos Garcia, The [French-man] and the Spaniard (1642)",b0115,dedicated to,dedication,p0149,Paul Pindar
e0908,"Carlos Garcia, The [French-man] and the Spaniard (1642)",b0115,sold by,the labor of printing,p0175,R. Martine
e0672,"Carlos Garcia, The [French-man] and the Spaniard (1642)",b0115,translated by,authorship,p0113,Robert Gentilis
e0679,"Carlos Garcia, The [French-man] and the Spaniard (1642)",b0115,with a letter to the reader by,preliminary content / preliminaries,p0113,Robert Gentilis
e0434,"Carlos Garcia, The [French-man] and the Spaniard (1642)",b0115,written by,authorship,p0033,Carlos Garcia
e0783,"Christopher Lever, The historie of the defendors of the catholique faith (1627)",b0174,dedicated to,dedication,p0146,King Charles I
e1014,"Christopher Lever, The historie of the defendors of the catholique faith (1627)",b0174,has a frontispiece engraved by,illustration,p0212,Friedrich van Hulsen
e1630,"Christopher Lever, The historie of the defendors of the catholique faith (1627)",b0174,printed by,the labor of printing,p0596,George Miller
e0897,"Christopher Lever, The historie of the defendors of the catholique faith (1627)",b0174,printed for,the labor of printing,p0172,Nicholas Fussell
e0388,"Christopher Lever, The historie of the defendors of the catholique faith (1627)",b0174,written by,authorship,p0019,Christopher Lever
e1634,"Claudius Hollyband, The French Littelton (1630)",b0373,contains commendatory verses by,preliminary content / preliminaries,p0599,George Gascoigne
e1633,"Claudius Hollyband, The French Littelton (1630)",b0373,dedicated to,dedication,p0598,William Herbert
e1631,"Claudius Hollyband, The French Littelton (1630)",b0373,printed by,the labor of printing,p0596,George Miller
e0904,"Claudius Hollyband, The French Littelton (1630)",b0373,sold by,the labor of printing,p0172,Nicholas Fussell
e1632,"Claudius Hollyband, The French Littelton (1630)",b0373,written by,authorship,p0597,Claudius Hollyband
e1735,"David Lloyd, The legend of Captain Jones (1659)",b0177,contains commendatory verses by,preliminary content / preliminaries,p8069,unidentified writer (32)
e1736,"David Lloyd, The legend of Captain Jones (1659)",b0177,contains commendatory verses by,preliminary content / preliminaries,p8070,unidentified writer (33)
e1737,"David Lloyd, The legend of Captain Jones (1659)",b0177,contains commendatory verses by,preliminary content / preliminaries,p8071,unidentified writer (34)
e1738,"David Lloyd, The legend of Captain Jones (1659)",b0177,contains commendatory verses by,preliminary content / preliminaries,p8072,unidentified writer (35)
e1739,"David Lloyd, The legend of Captain Jones (1659)",b0177,contains commendatory verses by,preliminary content / preliminaries,p8073,unidentified writer (36)
e1740,"David Lloyd, The legend of Captain Jones (1659)",b0177,contains commendatory verses by,preliminary content / preliminaries,p8074,unidentified writer (37)
e1741,"David Lloyd, The legend of Captain Jones (1659)",b0177,contains commendatory verses by,preliminary content / preliminaries,p8075,unidentified writer (38)
e0808,"David Lloyd, The legend of Captain Jones (1659)",b0177,has a frontispiece engraved by,illustration,p0153,William Marshall
e0599,"David Lloyd, The legend of Captain Jones (1659)",b0177,written by,authorship,p0076,David Lloyd
e1598,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,contains commendatory verses by,preliminary content / preliminaries,p0563,J. Lawrence
e1600,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,contains commendatory verses by,preliminary content / preliminaries,p0566,R. Knowles
e1763,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,contains commendatory verses by,preliminary content / preliminaries,p8097,unidentified writer (60)
e1764,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,contains commendatory verses by,preliminary content / preliminaries,p8098,unidentified writer (61)
e1765,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,contains commendatory verses by,preliminary content / preliminaries,p8099,unidentified writer (62)
e1766,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,contains commendatory verses by,preliminary content / preliminaries,p8100,unidentified writer (63)
e1767,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,contains commendatory verses by,preliminary content / preliminaries,p8101,unidentified writer (64)
e1562,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,dedicated to,dedication,p0536,Adam Lawrence
e1825,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,dedicated to,dedication,p8003,unidentified dedicatee (3)
e1565,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,printed by,the labor of printing,p0538,John Okes
e1592,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,translated by,authorship,p0558,Leonard Lawrence
e1593,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,with a letter to the reader by,preliminary content / preliminaries,p0558,Leonard Lawrence
e1606,"Diego de San Pedro, A small treatise betwixt Arnalte and Lucenda entituled The evill-intreated lover (1639)",b0333,written by,authorship,p0571,Diego de San Pedro
e0804,"Edmund Gregory, An historical anatomy of Christian melancholy (1646)",b0122,has a frontispiece engraved by,illustration,p0153,William Marshall
e0445,"Edmund Gregory, An historical anatomy of Christian melancholy (1646)",b0122,with a letter to the reader by,preliminary content / preliminaries,p0038,Edmund Gregory
e0911,"Edmund Gregory, An historical anatomy of Christian melancholy (1646)",b0122,with an imprimatur by,the labor of printing,p0176,John Downham
e0446,"Edmund Gregory, An historical anatomy of Christian melancholy (1646)",b0122,written by,authorship,p0038,Edmund Gregory
e0909,"Edmund Porter, Theos anthropophoros (1655)",b0215,contains commendatory verses by,preliminary content / preliminaries,p0176,John Downham
e1405,"Edmund Porter, Theos anthropophoros (1655)",b0215,dedicated to,dedication,p0430,Thomas Coventry
e0638,"Edmund Porter, Theos anthropophoros (1655)",b0215,written by,authorship,p0097,Edmund Porter
e1283,"Edmund Porter, Trin-unus-deus (1657)",b0216,dedicated to,dedication,p0365,Margaret Parston
e0639,"Edmund Porter, Trin-unus-deus (1657)",b0216,written by,authorship,p0097,Edmund Porter
e0395,"Edmund Reeve, An introduction into the Greeke tongue in most plaine manner (1657)",b0237,written by,authorship,p0024,Edmund Reeve
e0786,"Edmund Reeve, The Christian divinitie (1631)",b0318,dedicated to,dedication,p0146,King Charles I
e0899,"Edmund Reeve, The Christian divinitie (1631)",b0318,printed for,the labor of printing,p0172,Nicholas Fussell
e0392,"Edmund Reeve, The Christian divinitie (1631)",b0318,with a letter to the reader by,preliminary content / preliminaries,p0024,Edmund Reeve
e0396,"Edmund Reeve, The Christian divinitie (1631)",b0318,written by,authorship,p0024,Edmund Reeve
e1616,"Edmund Reeve, The Communion book catechisme  (1636)",b0325,dedicated to,dedication,p0583,Robert Wright
e1572,"Edmund Reeve, The Communion book catechisme  (1636)",b0325,printed by,the labor of printing,p0541,Miles Flesher
e0393,"Edmund Reeve, The Communion book catechisme  (1636)",b0325,with a letter to the reader by,preliminary content / preliminaries,p0024,Edmund Reeve
e0397,"Edmund Reeve, The Communion book catechisme  (1636)",b0325,written by,authorship,p0024,Edmund Reeve
e0394,"Edmund Reeve, The rules of the Latine grammar constrved (1656)",b0236,written by,authorship,p0024,Edmund Reeve
e1826,"Edmund Waller, Poems &c. (1645)",b0368,dedicated to,dedication,p8004,unidentified dedicatee (4)
e1827,"Edmund Waller, Poems &c. (1645)",b0369,dedicated to,dedication,p8005,unidentified dedicatee (5)
e1662,"Edmund Waller, Poems &c. (1645)",b0369,printed by,the labor of printing,p8000,printer only identified by initials
e1661,"Edmund Waller, Poems &c. (1645)",b0368,printed by,the labor of printing,p0407,Thomas Warren
e0456,"Edmund Waller, Poems &c. (1645)",b0368,set to music by,music,p0043,Henry Lawes
e0457,"Edmund Waller, Poems &c. (1645)",b0369,set to music by,music,p0043,Henry Lawes
e1197,"Edmund Waller, Poems &c. (1645)",b0368,written by,authorship,p0316,Edmund Waller
e1198,"Edmund Waller, Poems &c. (1645)",b0369,written by,authorship,p0316,Edmund Waller
e1664,"Edward Benlowes, A glance at the glories of sacred friendship (1657)",b0390,printed by,the labor of printing,p8000,printer only identified by initials
e0401,"Edward Benlowes, A glance at the glories of sacred friendship (1657)",b0390,written by,authorship,p0025,Edward Benlowes
e0400,"Edward Benlowes, The summary of vvisedome (1657)",b0389,written by,authorship,p0025,Edward Benlowes
e1122,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,contains commendatory verses by,preliminary content / preliminaries,p0274,Arthur Wilson
e1088,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,contains commendatory verses by,preliminary content / preliminaries,p0265,Jeremy Collier
e1441,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,contains commendatory verses by,preliminary content / preliminaries,p0457,John Gauden
e1315,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,contains commendatory verses by,preliminary content / preliminaries,p0387,Pierre de Cardonnel
e1316,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,contains commendatory verses by,preliminary content / preliminaries,p0388,T. Benlowes
e1317,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,contains commendatory verses by,preliminary content / preliminaries,p0389,Thomas Pestill
e1708,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,contains commendatory verses by,preliminary content / preliminaries,p8042,unidentified writer (5)
e1450,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,contains commendatory verses by,preliminary content / preliminaries,p0464,W. Dennie
e1085,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,contains commendatory verses by,preliminary content / preliminaries,p0264,Walter Montague
e1086,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,contains commendatory verses by,preliminary content / preliminaries,p0264,Walter Montague
e0705,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,contains commendatory verses by,preliminary content / preliminaries,p0123,William Davenant
e1089,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,has a frontispiece engraved by,illustration,p0266,Francis Barlow
e1159,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,has engravings by,illustration,p0297,Thomas Cecil
e1154,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,printed by,the labor of printing,p0295,Roger Norton
e1131,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,set to music by,music,p0280,John Jenkins
e1090,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,sold by,the labor of printing,p0267,Henry Seile
e0399,"Edward Benlowes, Theophila, or, Loves sacrifice  (1652)",b0032,written by,authorship,p0025,Edward Benlowes
e1331,"Edward Burles, Grammatica Burlesa (1652)",b0053,dedicated to,dedication,p0392,John Clarke
e1453,"Edward Burles, Grammatica Burlesa (1652)",b0053,dedicated to,dedication,p0466,M. Hobson
e1454,"Edward Burles, Grammatica Burlesa (1652)",b0053,dedicated to,dedication,p0467,M. Nichol
e1455,"Edward Burles, Grammatica Burlesa (1652)",b0053,dedicated to,dedication,p0468,Mr. Ailee
e1456,"Edward Burles, Grammatica Burlesa (1652)",b0053,dedicated to,dedication,p0469,Mr. Freswallan
e1474,"Edward Burles, Grammatica Burlesa (1652)",b0053,dedicated to,dedication,p0487,Mr. Watson
e1101,"Edward Burles, Grammatica Burlesa (1652)",b0053,printed by,the labor of printing,p0269,Thomas Newcomb
e0383,"Edward Burles, Grammatica Burlesa (1652)",b0053,written by,authorship,p0014,Edward Burles
e0789,"Edward Herbert, Expeditio in Ream insulam (1656)",b0361,dedicated to,dedication,p0146,King Charles I
e1540,"Edward Herbert, Expeditio in Ream insulam (1656)",b0361,translated by,authorship,p0525,Thomas Baldwin
e1604,"Edward Herbert, Expeditio in Ream insulam (1656)",b0361,with a letter to the reader by,preliminary content / preliminaries,p0570,Edward Herbert
e1541,"Edward Herbert, Expeditio in Ream insulam (1656)",b0361,with a letter to the reader by,preliminary content / preliminaries,p0525,Thomas Baldwin
e1605,"Edward Herbert, Expeditio in Ream insulam (1656)",b0361,written by,authorship,p0570,Edward Herbert
e0995,"Famiano Strada, De bello Belgico The history of the Low-Countrey warres (1650)",b0370,dedicated to,dedication,p0209,Henry Pierrepont
e1076,"Famiano Strada, De bello Belgico The history of the Low-Countrey warres (1650)",b0370,has engravings by,illustration,p0256,Robert Vaughan
e0836,"Famiano Strada, De bello Belgico The history of the Low-Countrey warres (1650)",b0370,has engravings by,illustration,p0153,William Marshall
e0852,"Famiano Strada, De bello Belgico The history of the Low-Countrey warres (1650)",b0370,translated by,authorship,p0156,Robert Stapleton
e0712,"Famiano Strada, De bello Belgico The history of the Low-Countrey warres (1650)",b0370,with a letter to the reader by,preliminary content / preliminaries,p0125,Famiano Strada
e0714,"Famiano Strada, De bello Belgico The history of the Low-Countrey warres (1650)",b0370,written by,authorship,p0125,Famiano Strada
e1418,"Famiano Strada, The siege of Antwerp (1656)",b0280,dedicated to,dedication,p0439,Caryll Molyneux
e0937,"Famiano Strada, The siege of Antwerp (1656)",b0280,printed by,the labor of printing,p0184,William Wilson
e1364,"Famiano Strada, The siege of Antwerp (1656)",b0280,translated by,authorship,p0408,Thomas Lancaster
e1365,"Famiano Strada, The siege of Antwerp (1656)",b0280,with a letter to the reader by,preliminary content / preliminaries,p0408,Thomas Lancaster
e0713,"Famiano Strada, The siege of Antwerp (1656)",b0280,written by,authorship,p0125,Famiano Strada
e1208,"Francesco Carmeni, Nissena, an excellent new romance (1652)",b0068,translated by,authorship,p0324,Francis Gifford
e0387,"Francesco Carmeni, Nissena, an excellent new romance (1652)",b0068,written by,authorship,p0018,Francesco Carmeni
e1507,"Francis Bacon, Historie naturall and experimentall (1638)",b0328,printed by,the labor of printing,p0511,John Haviland
e1555,"Francis Bacon, Historie naturall and experimentall (1638)",b0328,printed for,the labor of printing,p0532,William Lee
e1560,"Francis Bacon, Historie naturall and experimentall (1638)",b0328,translated by,authorship,p0535,William Rawley
e1561,"Francis Bacon, Historie naturall and experimentall (1638)",b0328,with a letter to the reader by,preliminary content / preliminaries,p0535,William Rawley
e1549,"Francis Bacon, Historie naturall and experimentall (1638)",b0328,with an imprimatur by,the labor of printing,p0529,Thomas Wykes
e0430,"Francis Bacon, Historie naturall and experimentall (1638)",b0328,written by,authorship,p0030,Francis Bacon
e1522,"Francis Bacon, The historie of life and death  (1638)",b0327,dedicated to,dedication,p0523,Edward Mosely
e1564,"Francis Bacon, The historie of life and death  (1638)",b0327,printed by,the labor of printing,p0538,John Okes
e0348,"Francis Bacon, The historie of life and death  (1638)",b0327,with a dedicatory epistle by,preliminary content / preliminaries,p0001,Humphrey Moseley
e0427,"Francis Bacon, The historie of life and death  (1638)",b0327,with a letter to the reader by,preliminary content / preliminaries,p0030,Francis Bacon
e0429,"Francis Bacon, The historie of life and death  (1638)",b0327,written by,authorship,p0030,Francis Bacon
e0773,"Francis Bacon, The naturall and experimentall history of vvinds (1653)",b0020,dedicated to,dedication,p0146,King Charles I
e1004,"Francis Bacon, The naturall and experimentall history of vvinds (1653)",b0020,has engravings by,illustration,p0211,Thomas Cross
e0959,"Francis Bacon, The naturall and experimentall history of vvinds (1653)",b0020,printed for,the labor of printing,p0199,Thomas Dring
e0671,"Francis Bacon, The naturall and experimentall history of vvinds (1653)",b0020,translated by,authorship,p0113,Robert Gentilis
e0428,"Francis Bacon, The naturall and experimentall history of vvinds (1653)",b0020,written by,authorship,p0030,Francis Bacon
e0982,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0206,Alexander Brome
e0974,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0202,Aston Cockayne
e1037,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0229,Ben Jonson
e1314,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0316,Edmund Waller
e1026,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0224,George Buck
e1309,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0384,George Hills
e0855,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0157,George Lisle
e1448,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0462,H. Howard
e0987,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0208,Henry Harington
e0972,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0200,Henry Mody
e0476,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0050,James Howell
e0510,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0051,James Shirley
e1030,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0227,Jasper Maine
e0533,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0057,John Denham
e1029,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0226,John Earle
e0986,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0207,John Harris
e1440,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0456,Joseph Howe
e0655,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0106,Richard Brome
e1036,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0228,Richard Corbet
e0977,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0203,Richard Lovelace
e1078,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0258,Robert Gardiner
e1042,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0230,Robert Herrick
e0847,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0156,Robert Stapleton
e0981,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0205,Roger L'Estrange
e1313,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0385,Sir John Pettus
e1449,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0463,T. Palmer
e0973,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0201,Thomas Peyton
e0734,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0132,Thomas Stanley
e1706,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p8040,unidentified writer (3)
e1707,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p8041,unidentified writer (4)
e0767,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0142,William Cartwright
e0979,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains commendatory verses by,preliminary content / preliminaries,p0204,William Habington
e0925,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains verses on the frontispiece engraving by,preliminary content / preliminaries,p0183,John Birkenhead
e0926,"Francis Beaumont, Comedies and tragedies (1647)",b0026,contains verses on the frontispiece engraving by,preliminary content / preliminaries,p0183,John Birkenhead
e0889,"Francis Beaumont, Comedies and tragedies (1647)",b0026,dedicated to,dedication,p0170,Philip Herbert
e0803,"Francis Beaumont, Comedies and tragedies (1647)",b0026,has a frontispiece engraved by,illustration,p0153,William Marshall
e0685,"Francis Beaumont, Comedies and tragedies (1647)",b0026,printed for,the labor of printing,p0117,Humphrey Robinson
e0350,"Francis Beaumont, Comedies and tragedies (1647)",b0026,with a letter to the reader by,preliminary content / preliminaries,p0001,Humphrey Moseley
e0511,"Francis Beaumont, Comedies and tragedies (1647)",b0026,with a letter to the reader by,preliminary content / preliminaries,p0051,James Shirley
e0406,"Francis Beaumont, Comedies and tragedies (1647)",b0026,written by,authorship,p0028,Francis Beaumont
e0543,"Francis Beaumont, Comedies and tragedies (1647)",b0026,written by,authorship,p0059,John Fletcher
e0409,"Francis Beaumont, The scornefull lady (1651)",b0029,written by,authorship,p0028,Francis Beaumont
e0546,"Francis Beaumont, The scornefull lady (1651)",b0029,written by,authorship,p0059,John Fletcher
e0927,"Francis Beaumont, The woman hater  (1648)",b0027,printed by,the labor of printing,p0184,William Wilson
e0407,"Francis Beaumont, The woman hater  (1648)",b0027,written by,authorship,p0028,Francis Beaumont
e0544,"Francis Beaumont, The woman hater  (1648)",b0027,written by,authorship,p0059,John Fletcher
e0408,"Francis Beaumont, The woman hater (1649)",b0028,written by,authorship,p0028,Francis Beaumont
e0545,"Francis Beaumont, The woman hater (1649)",b0028,written by,authorship,p0059,John Fletcher
e1771,"Francis Quarles, Argalus and Parthenia  (1654)",b0220,contains verses on the frontispiece engraving by,preliminary content / preliminaries,p8105,unidentified writer (68)
e1686,"Francis Quarles, Argalus and Parthenia  (1654)",b0220,has a frontispiece engraved by,illustration,p8015,unidentified engraver (9)
e0416,"Francis Quarles, Argalus and Parthenia  (1654)",b0220,with a letter to the reader by,preliminary content / preliminaries,p0029,Francis Quarles
e0418,"Francis Quarles, Argalus and Parthenia  (1654)",b0220,written by,authorship,p0029,Francis Quarles
e1237,"Francis Quarles, Argalus and Partheniales (1659)",b0227,dedicated to,dedication,p0338,Henry Rich
e1690,"Francis Quarles, Argalus and Partheniales (1659)",b0227,has a frontispiece engraved by,illustration,p8017,unidentified engraver (11)
e1012,"Francis Quarles, Argalus and Partheniales (1659)",b0227,has engravings by,illustration,p0211,Thomas Cross
e1702,"Francis Quarles, Argalus and Partheniales (1659)",b0227,has engravings by,illustration,p8027,unidentified engraver (21)
e0936,"Francis Quarles, Argalus and Partheniales (1659)",b0227,printed by,the labor of printing,p0184,William Wilson
e0425,"Francis Quarles, Argalus and Partheniales (1659)",b0227,written by,authorship,p0029,Francis Quarles
e1234,"Francis Quarles, Argalvs, and Parthenia  (1656)",b0222,dedicated to,dedication,p0338,Henry Rich
e1687,"Francis Quarles, Argalvs, and Parthenia  (1656)",b0222,has a frontispiece engraved by,illustration,p8016,unidentified engraver (10)
e1009,"Francis Quarles, Argalvs, and Parthenia  (1656)",b0222,has engravings by,illustration,p0211,Thomas Cross
e1699,"Francis Quarles, Argalvs, and Parthenia  (1656)",b0222,has engravings by,illustration,p8026,unidentified engraver (20)
e0933,"Francis Quarles, Argalvs, and Parthenia  (1656)",b0222,printed by,the labor of printing,p0184,William Wilson
e0420,"Francis Quarles, Argalvs, and Parthenia  (1656)",b0222,written by,authorship,p0029,Francis Quarles
e1774,"Francis Quarles, Divine poems containing the history of Ionah, Ester, Iob, Sampson  (1642)",b0348,contains verses on the frontispiece engraving by,preliminary content / preliminaries,p8108,unidentified writer (71)
